activity_name,marudhamalai temple,patteeswarar temple ,kovai kondattam amusement park,sree ayyappan temple,anubhavi subramaniar temple,adiyogi shiva statue,eachanari vinayagar temple,gedee car museum 
marudhamalai temple,0,31,33,33,35,52,62,34
patteeswarar temple ,31,0,6,24,42,34,34,20
kovai kondattam amusement park,36,6,0,28,46,28,36,25
sree ayyappan temple,33,24,28,0,35,56,38,8
anubhavi subramaniar temple,35,42,46,35,0,64,67,38
adiyogi shiva statue,52,34,28,56,64,0,65,53
eachanari vinayagar temple,62,34,36,38,67,65,0,28
gedee car museum ,34,20,25,8,38,53,28,0
