activity_name,kishkinta theme park,guindy national park,arignar anna zoological park,semmozhi poonga,marina beach,dakshinachitra,kapaleeswarar temple,santhome church,besant nagar beach
kishkinta theme park,0,42,12,48,55,57,56,54,50
guindy national park,42,0,37,14,19,41,20,18,14
arignar anna zoological park,12,37,0,49,56,45,57,54,48
semmozhi poonga,48,14,49,0,8,17,10,9,17
marina beach,55,19,56,8,0,44,6,2,14
dakshinachitra,57,41,45,17,44,0,47,44,37
kapaleeswarar temple,56,20,57,10,6,47,0,5,11
santhome church,54,18,54,9,2,44,5,0,12
besant nagar beach,50,14,48,17,14,37,11,12,0
